"","geography","weekEnding","expectedDeaths","allDeaths","excessDeaths","excessDeathsLo","excessDeathsHi","cv19Deaths"
"1","United States","2020-01-04",59667,60159,492,0,492,2
"2","United States","2020-01-11",60034,60723,689,0,689,0
"3","United States","2020-01-18",60199,59360,-839,0,0,3
"4","United States","2020-01-25",60202,59141,-1061,0,0,2
"5","United States","2020-02-01",59683,58802,-881,0,0,0
"6","United States","2020-02-08",59494,59384,-110,0,0,1
"7","United States","2020-02-15",59318,58800,-518,0,0,0
"8","United States","2020-02-22",59043,58868,-175,0,0,4
"9","United States","2020-02-29",58600,59274,674,0,674,9
"10","United States","2020-03-07",58387,59638,1251,0,1251,36
"11","United States","2020-03-14",58019,58638,619,0,619,56
"12","United States","2020-03-21",57634,59193,1559,0,1559,574
"13","United States","2020-03-28",57141,62977,5836,3709,5836,3173
"14","United States","2020-04-04",56551,72257,15706,13611,15706,10050
"15","United States","2020-04-11",55991,79045,23054,20972,23054,16215
"16","United States","2020-04-18",55407,76746,21339,19319,21339,17100
"17","United States","2020-04-25",54789,73872,19083,17041,19083,15467
"18","United States","2020-05-02",54183,69258,15075,13036,15075,13175
"19","United States","2020-05-09",53724,66766,13042,11022,13042,11196
"20","United States","2020-05-16",53363,64443,11080,9033,11080,9186
"21","United States","2020-05-23",53036,61567,8531,6575,8531,7202
"22","United States","2020-05-30",52824,59619,6795,4822,6795,6139
"23","United States","2020-06-06",52688,58828,6140,4167,6140,5019
"24","United States","2020-06-13",52507,57972,5465,3471,5465,4216
"25","United States","2020-06-20",52470,57922,5452,3416,5452,3820
"26","United States","2020-06-27",52319,58438,6119,4194,6119,3808
"27","United States","2020-07-04",52131,59771,7640,5676,7640,4509
"28","United States","2020-07-11",51983,61830,9847,7901,9847,5743
"29","United States","2020-07-18",51844,63059,11215,9251,11215,7148
"30","United States","2020-07-25",51700,64510,12810,10792,12810,8178
"31","United States","2020-08-01",51549,64474,12925,11004,12925,8258
"32","United States","2020-08-08",51516,63955,12439,10477,12439,7808
"33","United States","2020-08-15",51492,63850,12358,10413,12358,7204
"34","United States","2020-08-22",51567,62718,11151,9278,11151,6328
"35","United States","2020-08-29",51622,61214,9592,7564,9592,5668
"36","United States","2020-09-05",51842,60125,8283,6350,8283,4929
"37","United States","2020-09-12",52027,59444,7417,5418,7417,4508
"38","United States","2020-09-19",52320,59407,7087,5186,7087,4135
"39","United States","2020-09-26",52654,60042,7388,5420,7388,4136
"40","United States","2020-10-03",53030,58762,5732,3611,5732,4040
"41","United States","2020-10-10",53345,60363,7018,4916,7018,4568
"42","United States","2020-10-17",53740,58776,5036,3054,5036,4901
"43","United States","2020-10-24",54160,60213,6053,3987,6053,5652
"44","United States","2020-10-31",54597,61292,6695,4720,6695,6560
"45","United States","2020-11-07",54957,65027,10070,7923,10070,8198
"46","United States","2020-11-14",55302,66528,11226,9079,11226,10003
"47","United States","2020-11-21",55837,69225,13388,11247,13388,12542
"48","United States","2020-11-28",56295,70152,13857,11795,13857,14394
"49","United States","2020-12-05",56829,72895,16066,13973,16066,16598
"50","United States","2020-12-12",57358,75244,17886,15791,17886,17031
"51","United States","2020-12-19",58321,72096,13775,11737,13775,14226
"52","United States","2020-12-26",59161,67113,7952,5799,7952,7156
